prospect_id,company_name,website,industry_hint,linkedin_url,cloned_site_url
aurora-medical-spa,Aurora Medical Spa,http://www.auroramedicalspa.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/paige-boyer-49a31b17,https://aurora-medical-spa-forge.vercel.app
blue-medical-spa,Blue Medical Spa,http://www.bluespa.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/ronda-hawara-nofal-43380111,https://blue-medical-spa-forge.vercel.app
cocoon-medical-spa,Cocoon Medical Spa,http://www.cocoonmedicalspa.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/louise-cogan-15bba43a,https://cocoon-medical-spa-forge.vercel.app
dream-spa-medical,Dream Spa Medical,http://www.dreamspamedical.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/diana-brouillard-488bb095,https://dream-spa-medical-forge.vercel.app
medical-day-spa-of-chapel-hill,Medical Day Spa of Chapel Hill,http://www.chapelhilldayspa.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/hillary-casselli-bsn-rn-2869a8323,https://medical-day-spa-of-chapel-hill-forge.vercel.app
neem-medical-spa,Neem Medical Spa,http://www.neemmedicalspa.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/rosy-sandhu-12327bb2,https://neem-medical-spa-forge.vercel.app
oasis-day-spa,Oasis Day Spa,http://www.oasisdayspa.org,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/christy-stansberry-898a62149,https://oasis-day-spa-forge.vercel.app
saltz-plastic-surgery-saltz-spa-vitoria,Saltz Plastic Surgery & Saltz Spa Vitoria,http://www.saltzplasticsurgery.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/renato-saltz-md-40869733,https://saltz-plastic-surgery-saltz-spa-vitoria-forge.vercel.app
spa-mizan,Spa Mizan,http://www.spamizan.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/ginger-louviere-0813443a,https://spa-mizan-forge.vercel.app
spargo-salon-spa-medical-spa,"Spargo Salon, Spa & Medical Spa",http://www.spargospa.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/laura-chapman-b7918096,https://spargo-salon-spa-medical-spa-forge.vercel.app
still-waters-day-medical-spa,Still Waters Day & Medical Spa,http://www.stillwatersmedspa.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/jeff-aanestad-48228534,https://still-waters-day-medical-spa-forge.vercel.app
valley-medical-weight-loss-med-spa,Valley Medical Weight Loss & Med Spa,http://www.valleymedicalweightloss.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/jodi-jaffe-72b6527,https://valley-medical-weight-loss-med-spa-forge.vercel.app
advancedexterminating,Advancedexterminating,http://www.advancedexterminating.com,Progressive Service Businesses,http://www.linkedin.com/in/jennifer-puricelli-538a0531,https://advancedexterminating-forge.vercel.app
asilakemanagement,Asilakemanagement,http://www.asilakemanagement.com,Progressive Service Businesses,http://www.linkedin.com/in/abigail-satterfield-432816229,https://asilakemanagement-forge.vercel.app
esapco,Esapco,http://www.esapco.com,Progressive Service Businesses,http://www.linkedin.com/in/shaun-sumner-0a13b0137,https://esapco-forge.vercel.app
hongdaservice,Hongdaservice,http://www.hongdaservice.com,Progressive Service Businesses,http://www.linkedin.com/in/angel-ho-99070426,https://hongdaservice-forge.vercel.app
ogden-company-inc,"Ogden & Company, Inc.",http://www.ogdenre.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/millerjanice,https://ogden-company-inc-forge.vercel.app
safetyservicescompany,Safetyservicescompany,http://www.safetyservicescompany.com,Progressive Service Businesses,http://www.linkedin.com/in/morgan-paz-3bb513114,https://safetyservicescompany-forge.vercel.app
transform-solutions,TRANSFORM Solutions,http://www.transformsolution.com,Progressive Service Businesses,http://www.linkedin.com/in/ashfaq-shilliwala,https://transform-solutions-forge.vercel.app
adeptus-advisors-group,Adeptus Advisors Group,http://www.adeptusadvisors.com,CPA / Accounting / Advisory Firms,http://www.linkedin.com/in/michele-maybaum,https://adeptus-advisors-group-forge.vercel.app
berndt-cpa-llc,Berndt CPA LLC,http://www.berndtcpa.com,CPA / Accounting / Advisory Firms,http://www.linkedin.com/in/jordonolson,https://berndt-cpa-llc-forge.vercel.app
brown-edwards,Brown Edwards,http://www.becpas.com,CPA / Accounting / Advisory Firms,http://www.linkedin.com/in/billyrobinsonconstructioncpa,https://brown-edwards-forge.vercel.app
condley-and-company-l-l-p,"Condley and Company, L.L.P.",http://www.condley.cpa,CPA / Accounting / Advisory Firms,http://www.linkedin.com/in/ryangibsoncpa,https://condley-and-company-l-l-p-forge.vercel.app
conner-ash-pc,Conner Ash PC,http://www.connerash.com,CPA / Accounting / Advisory Firms,http://www.linkedin.com/in/brianhantsbarger,https://conner-ash-pc-forge.vercel.app
cwcc-cpa-limited,CWCC CPA LIMITED,http://www.cwcccpa.com,CPA / Accounting / Advisory Firms,http://www.linkedin.com/in/steve-feng-9838a0155,https://cwcc-cpa-limited-forge.vercel.app
donovan-cpas,Donovan CPAs,http://www.cpadonovan.com,CPA / Accounting / Advisory Firms,http://www.linkedin.com/in/jay-boughner-cpa-mba-47b9633,https://donovan-cpas-forge.vercel.app
freemon-shapard-story-cpas,"Freemon Shapard & Story, CPAs",http://www.fss.cpa,CPA / Accounting / Advisory Firms,http://www.linkedin.com/in/dennis-cannedy-59480221,https://freemon-shapard-story-cpas-forge.vercel.app
